[2025-12-24T13:50:16.796Z] ACTION: UPDATE | TARGET: 0 | STATUS: ERRO | Command failed: git pull
fatal: not a git repository (or any of the parent directories): .git

[2025-12-24T14:15:58.708Z] ACTION: UPDATE | TARGET: 0 | STATUS: FALHA | Erro: Pasta sem .git e repoUrl não enviado.
[2025-12-24T14:40:54.758Z] ACTION: restart | TARGET: 44 | STATUS: SUCESSO | 
[2025-12-24T16:07:25.174Z] ACTION: restart | TARGET: 42 | STATUS: SUCESSO | 
[2025-12-26T12:16:58.646Z] ACTION: stop | TARGET: 29 | STATUS: SUCESSO | 
[2025-12-26T14:50:04.003Z] ACTION: restart | TARGET: 45 | STATUS: SUCESSO | 
[2025-12-26T17:39:58.930Z] ACTION: restart | TARGET: 45 | STATUS: SUCESSO | 
[2025-12-27T18:12:19.973Z] ACTION: restart | TARGET: 39 | STATUS: SUCESSO | 
[2025-12-27T18:45:16.965Z] ACTION: delete | TARGET: 49 | STATUS: SUCESSO | 
[2025-12-27T18:55:40.712Z] ACTION: delete | TARGET: 51 | STATUS: SUCESSO | 
[2025-12-27T18:58:20.597Z] ACTION: stop | TARGET: 29 | STATUS: SUCESSO | 
[2025-12-27T18:58:29.081Z] ACTION: delete | TARGET: 29 | STATUS: SUCESSO | 
[2025-12-29T13:02:56.372Z] ACTION: restart | TARGET: 42 | STATUS: SUCESSO | 
[2025-12-29T13:05:25.902Z] ACTION: restart | TARGET: 42 | STATUS: SUCESSO | 
[2025-12-29T13:19:21.321Z] ACTION: restart | TARGET: 44 | STATUS: SUCESSO | 
[2025-12-29T13:22:39.526Z] ACTION: restart | TARGET: 44 | STATUS: SUCESSO | 
[2025-12-29T13:24:14.240Z] ACTION: restart | TARGET: 44 | STATUS: SUCESSO | 
[2025-12-29T13:27:48.046Z] ACTION: restart | TARGET: 44 | STATUS: SUCESSO | 
[2025-12-29T13:36:04.927Z] ACTION: restart | TARGET: 42 | STATUS: SUCESSO | 
[2025-12-29T13:39:26.571Z] ACTION: restart | TARGET: 42 | STATUS: SUCESSO | 
[2025-12-29T15:08:56.202Z] ACTION: restart | TARGET: 42 | STATUS: SUCESSO | 
[2025-12-29T15:09:00.965Z] ACTION: restart | TARGET: 44 | STATUS: SUCESSO | 
